code,title,quantity,cost,type,period
20,"Продукты переработки овощей, фруктов, орехов или прочих частей растений.",40464.541,40926.8,e,2014-10
21,Разные пищевые продукты,13080.795,41088,e,2014-10
22,Алкогольные и безалкогольные напитки и уксус.,174139.392,134445.7,e,2014-10
23,Остатки и отходы пищевой промышленности; готовые корма для животных,199320.472,100353.5,e,2014-10
24,Табак и промышленные заменители табака.,9600.333,83176.7,e,2014-10
25,"Соль; сера; земли и камень; штукатурные материалы, известь и цемент",6240521.282,212221.9,e,2014-10
26,"Руды, шлак и зола.",31796.116,4377,e,2014-10
27,"Топливо минеральное, нефть и продукты их перегонки; битуминозные вещества; воски минеральные",14383446.681,10242758.1,e,2014-10
28,"Продукты неорганической химии; соединения неорганические или органические драгоценных металлов, редкоземельных металлов, радиоактивных элементов или изотопов",121135.528,30920.8,e,2014-10
29,Органические химические соединения,163358.334,201131.5,e,2014-10
30,Фармацевтическая продукция,8466.7,140748.3,e,2014-10
31,Удобрения,9296696.418,2877973.6,e,2014-10
